DATE,DTB3
26/10/10,0.14
27/10/10,0.14
28/10/10,0.13
29/10/10,0.12
1/11/10,0.13
2/11/10,0.13
3/11/10,0.13
4/11/10,0.13
5/11/10,0.13
8/11/10,0.13
9/11/10,0.13
10/11/10,0.13
11/11/10,.
12/11/10,0.13
15/11/10,0.14
16/11/10,0.15
17/11/10,0.14
18/11/10,0.15
19/11/10,0.14
22/11/10,0.15
23/11/10,0.15
24/11/10,0.16
25/11/10,.
26/11/10,0.16
29/11/10,0.18
30/11/10,0.17
1/12/10,0.16
2/12/10,0.16
3/12/10,0.14
6/12/10,0.15
7/12/10,0.14
8/12/10,0.15
9/12/10,0.14
10/12/10,0.13
13/12/10,0.15
14/12/10,0.15
15/12/10,0.14
16/12/10,0.13
17/12/10,0.11
20/12/10,0.14
21/12/10,0.14
22/12/10,0.14
23/12/10,0.14
24/12/10,.
27/12/10,0.17
28/12/10,0.15
29/12/10,0.13
30/12/10,0.12
31/12/10,0.12
3/1/11,0.15
4/1/11,0.14
5/1/11,0.14
6/1/11,0.15
7/1/11,0.14
10/1/11,0.15
11/1/11,0.15
12/1/11,0.15
13/1/11,0.15
14/1/11,0.15
17/1/11,.
18/1/11,0.16
19/1/11,0.16
20/1/11,0.16
21/1/11,0.16
24/1/11,0.16
25/1/11,0.16
26/1/11,0.16
27/1/11,0.15
28/1/11,0.15
31/1/11,0.15
1/2/11,0.15
2/2/11,0.16
3/2/11,0.14
4/2/11,0.15
7/2/11,0.16
8/2/11,0.15
9/2/11,0.14
10/2/11,0.12
11/2/11,0.12
14/2/11,0.13
15/2/11,0.13
16/2/11,0.12
17/2/11,0.09
18/2/11,0.1
21/2/11,.
22/2/11,0.12
23/2/11,0.12
24/2/11,0.13
25/2/11,0.13
28/2/11,0.15
1/3/11,0.14
2/3/11,0.13
3/3/11,0.13
4/3/11,0.12
7/3/11,0.11
8/3/11,0.11
9/3/11,0.1
10/3/11,0.08
11/3/11,0.08
14/3/11,0.09
15/3/11,0.1
16/3/11,0.1
17/3/11,0.08
18/3/11,0.07
21/3/11,0.1
22/3/11,0.1
23/3/11,0.09
24/3/11,0.09
25/3/11,0.09
28/3/11,0.11
29/3/11,0.1
30/3/11,0.1
31/3/11,0.09
1/4/11,0.07
4/4/11,0.06
5/4/11,0.07
6/4/11,0.06
7/4/11,0.04
8/4/11,0.04
11/4/11,0.05
12/4/11,0.05
13/4/11,0.06
14/4/11,0.07
15/4/11,0.07
18/4/11,0.07
19/4/11,0.06
20/4/11,0.06
21/4/11,0.06
22/4/11,.
25/4/11,0.07
26/4/11,0.07
27/4/11,0.06
28/4/11,0.04
29/4/11,0.04
2/5/11,0.05
3/5/11,0.03
4/5/11,0.03
5/5/11,0.02
6/5/11,0.02
9/5/11,0.03
10/5/11,0.03
11/5/11,0.03
12/5/11,0.02
13/5/11,0.03
16/5/11,0.04
17/5/11,0.04
18/5/11,0.05
19/5/11,0.05
20/5/11,0.05
23/5/11,0.06
24/5/11,0.06
25/5/11,0.06
26/5/11,0.05
27/5/11,0.05
30/5/11,.
31/5/11,0.06
1/6/11,0.05
2/6/11,0.04
3/6/11,0.04
6/6/11,0.05
7/6/11,0.05
8/6/11,0.04
9/6/11,0.05
10/6/11,0.05
13/6/11,0.05
14/6/11,0.05
15/6/11,0.05
16/6/11,0.05
17/6/11,0.04
20/6/11,0.03
21/6/11,0.03
22/6/11,0.02
23/6/11,0.01
24/6/11,0.02
27/6/11,0.02
28/6/11,0.03
29/6/11,0.02
30/6/11,0.03
1/7/11,0.02
4/7/11,.
5/7/11,0.02
6/7/11,0.01
7/7/11,0.03
8/7/11,0.03
11/7/11,0.03
12/7/11,0.03
13/7/11,0.01
14/7/11,0.01
15/7/11,0.02
18/7/11,0.02
19/7/11,0.03
20/7/11,0.02
21/7/11,0.05
22/7/11,0.05
25/7/11,0.05
26/7/11,0.07
27/7/11,0.08
28/7/11,0.07
29/7/11,0.1
1/8/11,0.1
2/8/11,0.06
3/8/11,0.02
4/8/11,0.02
5/8/11,0.01
8/8/11,0.05
9/8/11,0.03
10/8/11,0.02
11/8/11,0.03
12/8/11,0.02
15/8/11,0.02
16/8/11,0.03
17/8/11,0.01
18/8/11,0.01
19/8/11,0.02
22/8/11,0.01
23/8/11,0.01
24/8/11,0.02
25/8/11,0.01
26/8/11,0.01
29/8/11,0.02
30/8/11,0.01
31/8/11,0.02
1/9/11,0.02
2/9/11,0.02
5/9/11,.
6/9/11,0.02
7/9/11,0.02
8/9/11,0.02
9/9/11,0.01
12/9/11,0.01
13/9/11,0.01
14/9/11,0.01
15/9/11,0.01
16/9/11,0.01
19/9/11,0.01
20/9/11,0.01
21/9/11,0.01
22/9/11,0
23/9/11,0.01
26/9/11,0.02
27/9/11,0.01
28/9/11,0.02
29/9/11,0.02
30/9/11,0.02
3/10/11,0.02
4/10/11,0.01
5/10/11,0
6/10/11,0.01
7/10/11,0.01
10/10/11,.
11/10/11,0.02
12/10/11,0.02
13/10/11,0.02
14/10/11,0.02
17/10/11,0.04
18/10/11,0.04
19/10/11,0.03
20/10/11,0.03
